Тип лексемы | Лексема    | Индекс в хеш-табице
         ID |       endy | 0
      CONST |       6655 | 1
      CONST |          1 | 6
         ID |        one | 13
 SEPARATORS |          ; | 16
   OPERATOR |         <> | 17
   OPERATOR |          = | 18
   OPERATOR |          > | 19
   OPERATOR |          < | 20
    KEYWORD |      begin | 21
      ERROR |          @ | 22
      ERROR |         06 | 23
      ERROR |          ? | 24
    KEYWORD |        end | 30
      ERROR |       end4 | 32
      CONST |         10 | 44
    KEYWORD |        var | 49
   OPERATOR |         := | 51
         ID |          a | 54
         ID |          b | 55
         ID |          c | 56
    KEYWORD |  procedure | 68
    KEYWORD |      while | 71
    KEYWORD |         do | 73
    KEYWORD |    integer | 79
      ERROR |          { | 80
      ERROR |          } | 82
         ID |       main | 86
      ERROR |          ! | 91
      ERROR |          " | 92
      ERROR |          # | 93
      ERROR |          $ | 94
 SEPARATORS |          ( | 98
 SEPARATORS |          ) | 99
